run,steps,final_pos_err_m,final_vel_err_mps,total_dv_mps,prop_kg,docked
0,1655,0.029236,0.000503,1.885718,0.436832,1
1,1639,0.030760,0.000404,1.712462,0.396712,1
2,1642,0.030366,0.000515,1.741385,0.403410,1
3,1640,0.029809,0.000454,1.816190,0.420732,1
4,1655,0.030198,0.000522,1.825147,0.422806,1
5,1624,0.029248,0.000425,1.752482,0.405980,1
6,1666,0.030849,0.000565,1.888451,0.437465,1
7,1672,0.029642,0.000434,1.878397,0.435137,1
8,1663,0.030249,0.000394,1.921219,0.445052,1
9,1639,0.030473,0.000473,1.743777,0.403964,1
10,1654,0.030519,0.000465,1.767577,0.409475,1
11,1638,0.030509,0.000411,1.819690,0.421543,1
12,1710,0.031126,0.000321,1.922859,0.445432,1
13,1631,0.030546,0.000421,1.826543,0.423130,1
14,1651,0.029322,0.000516,1.881371,0.435825,1
15,1653,0.029459,0.000378,1.692932,0.392190,1
16,1648,0.029718,0.000566,1.863838,0.431765,1
17,1663,0.030225,0.000476,1.686650,0.390735,1
18,1696,0.029230,0.000492,1.877372,0.434899,1
19,1650,0.029152,0.000430,1.795554,0.415954,1
20,1675,0.029754,0.000334,1.795639,0.415973,1
21,1637,0.029629,0.000349,1.771246,0.410325,1
22,1655,0.029653,0.000466,1.835570,0.425220,1
23,1661,0.029617,0.000440,1.749729,0.405342,1
24,1647,0.030567,0.000485,1.735966,0.402155,1
25,1653,0.030579,0.000549,1.733658,0.401621,1
26,1680,0.030314,0.000387,1.844822,0.427362,1
27,1687,0.029853,0.000481,1.903004,0.440834,1
28,1648,0.030799,0.000504,1.708139,0.395711,1
29,1640,0.030183,0.000438,1.861437,0.431209,1
30,1645,0.030400,0.000524,1.741596,0.403459,1
31,1683,0.029237,0.000359,2.030971,0.470464,1
32,1636,0.029664,0.000456,1.721729,0.398858,1
33,1672,0.029154,0.000488,1.886179,0.436939,1
34,1635,0.030338,0.000489,1.859863,0.430845,1
35,1648,0.029359,0.000567,1.760132,0.407751,1
36,1646,0.029987,0.000528,1.749183,0.405216,1
37,1637,0.029682,0.000515,1.785968,0.413734,1
38,1653,0.029362,0.000475,1.855558,0.429848,1
39,1634,0.029751,0.000469,1.811914,0.419742,1
40,1638,0.029184,0.000594,1.784798,0.413463,1
41,1649,0.029784,0.000495,1.767020,0.409346,1
42,1643,0.030029,0.000474,1.797577,0.416422,1
43,1651,0.029606,0.000430,1.848470,0.428207,1
44,1635,0.029312,0.000460,1.795842,0.416020,1
45,1709,0.030737,0.000474,1.974119,0.457301,1
46,1682,0.029251,0.000389,1.913279,0.443214,1
47,1649,0.028968,0.000424,1.910319,0.442528,1
48,1655,0.030010,0.000555,1.894964,0.438973,1
49,1659,0.030561,0.000459,1.714816,0.397257,1
50,1650,0.029712,0.000541,1.900098,0.440162,1
51,1689,0.030448,0.000394,1.760700,0.407883,1
52,1701,0.030977,0.000453,1.892709,0.438450,1
53,1644,0.029915,0.000430,1.813445,0.420097,1
54,1697,0.030184,0.000365,1.811629,0.419676,1
55,1712,0.029841,0.000429,1.963942,0.454944,1
56,1652,0.029844,0.000459,1.754677,0.406488,1
57,1636,0.028285,0.000406,1.853509,0.429374,1
58,1648,0.030597,0.000435,1.832556,0.424522,1
59,1651,0.030959,0.000445,1.764841,0.408842,1
60,1703,0.030061,0.000503,1.872725,0.433823,1
61,1670,0.029549,0.000448,1.846511,0.427753,1
62,1648,0.029708,0.000421,1.862781,0.431521,1
63,1641,0.029534,0.000414,1.864602,0.431942,1
64,1645,0.030658,0.000516,1.803963,0.417901,1
65,1657,0.029267,0.000512,1.917043,0.444085,1
66,1639,0.031120,0.000465,1.763700,0.408578,1
67,1660,0.029079,0.000447,1.840388,0.426336,1
68,1720,0.031095,0.000409,2.018834,0.467654,1
69,1704,0.030143,0.000491,1.959153,0.453835,1
70,1629,0.029112,0.000454,1.830193,0.423975,1
71,1648,0.029948,0.000453,1.858780,0.430594,1
72,1650,0.030027,0.000401,1.732788,0.401419,1
73,1633,0.029525,0.000506,1.777037,0.411666,1
74,1649,0.030854,0.000428,1.821909,0.422056,1
75,1636,0.030153,0.000565,1.811629,0.419676,1
76,1649,0.029741,0.000527,1.719533,0.398350,1
77,1651,0.030445,0.000614,1.732487,0.401350,1
78,1675,0.029503,0.000427,1.965468,0.455298,1
79,1717,0.029799,0.000488,1.871988,0.433652,1
80,1659,0.030468,0.000477,1.757845,0.407222,1
81,1648,0.029547,0.000409,1.716726,0.397700,1
82,1675,0.030371,0.000384,1.822155,0.422113,1
83,1663,0.028394,0.000426,1.764926,0.408861,1
84,1652,0.030421,0.000555,1.941741,0.449804,1
85,1716,0.029642,0.000460,1.802205,0.417494,1
86,1674,0.030786,0.000453,1.838098,0.425805,1
87,1644,0.029742,0.000416,1.729165,0.400580,1
88,1675,0.029405,0.000619,1.950577,0.451850,1
89,1637,0.030847,0.000435,1.708048,0.395690,1
90,1653,0.030560,0.000501,1.760392,0.407811,1
91,1637,0.029881,0.000473,1.904390,0.441155,1
92,1676,0.030978,0.000420,1.888223,0.437412,1
93,1693,0.030036,0.000372,1.870335,0.433270,1
94,1666,0.029967,0.000464,1.874561,0.434249,1
95,1681,0.030139,0.000442,1.892812,0.438474,1
96,1631,0.030132,0.000539,1.820957,0.421836,1
97,1637,0.030474,0.000456,1.801796,0.417399,1
98,1643,0.029994,0.000517,1.721751,0.398864,1
99,1635,0.029629,0.000498,1.935738,0.448414,1
