step,time_s,true_x,true_y,true_z,true_vx,true_vy,true_vz,est_x,est_y,est_z,cmd_fx,cmd_fy,cmd_fz,range_m,dv_step,att_qw,att_qx,att_qy,att_qz,att_err_deg,att_aligned,mission_mode,fault_code,imu_ax,imu_ay,imu_az
0,1.000,-0.0000,199.9998,0.0000,-0.000000,-0.000334,0.000000,-0.0345,200.8344,0.2745,0.0000,-0.1670,0.0000,200.0000,0.000334,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.004993,0.004508,-0.001133
1,2.000,-0.0000,199.9994,0.0000,-0.000001,-0.000583,0.000000,-0.0934,200.6656,-0.0662,0.0000,-0.1242,0.0000,199.9998,0.000248,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.006437,0.001442,-0.001779
2,3.000,-0.0000,199.9988,0.0000,-0.000003,-0.000583,0.000000,-0.1509,200.4798,0.2880,0.0000,0.0000,0.0000,199.9994,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.000439,-0.016550,-0.000191
3,4.000,-0.0000,199.9982,0.0000,-0.000004,-0.000584,0.000000,-0.1118,200.3007,0.0787,0.0000,0.0000,0.0000,199.9988,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.004340,0.001532,0.018966
4,5.000,-0.0000,199.9976,0.0000,-0.000005,-0.000584,0.000000,-0.1528,200.1823,0.1703,0.0000,0.0000,0.0000,199.9982,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.016866,-0.004986,0.009755
5,6.000,-0.0000,199.9972,0.0000,-0.000006,-0.000273,0.000000,-0.1114,199.2933,0.0123,0.0000,0.1560,0.0000,199.9976,0.000312,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.012001,-0.000305,-0.011782
6,7.000,-0.0000,199.9970,0.0000,-0.000007,-0.000066,0.000000,-0.0444,199.5191,-0.0019,0.0000,0.1032,0.0000,199.9972,0.000206,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.000144,0.010512,0.003132
7,8.000,-0.0000,199.9970,0.0000,-0.000007,-0.000067,0.000000,-0.0961,199.8979,-0.0533,0.0000,0.0000,0.0000,199.9970,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.012095,0.001902,-0.005452
8,9.000,-0.0000,199.9969,0.0000,-0.000007,-0.000067,0.000000,-0.0423,199.8241,-0.0702,0.0000,0.0000,0.0000,199.9970,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.021935,0.020433,-0.016422
9,10.000,-0.0000,199.9968,0.0000,-0.000007,-0.000068,0.000000,-0.0366,200.1073,-0.0773,0.0000,0.0000,0.0000,199.9969,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.006190,0.013006,0.002480
10,11.000,-0.0001,199.9968,0.0000,-0.000007,-0.000068,0.000000,-0.1581,199.9620,0.0690,0.0000,0.0000,0.0000,199.9968,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.010210,-0.001162,0.007374
11,12.000,-0.0001,199.9967,0.0000,-0.000007,-0.000068,0.000000,-0.0904,199.8679,-0.0737,0.0000,0.0000,0.0000,199.9968,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.005684,-0.011703,0.015275
12,13.000,-0.0001,199.9966,0.0000,-0.000008,-0.000069,0.000000,-0.0451,199.9178,-0.0376,0.0000,0.0000,0.0000,199.9967,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.010201,0.020032,-0.003860
13,14.000,-0.0001,199.9966,0.0000,-0.000008,-0.000069,0.000000,-0.0418,199.8521,-0.0053,0.0000,0.0000,0.0000,199.9966,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.008011,-0.000357,-0.000257
14,15.000,-0.0001,199.9965,0.0000,-0.000008,-0.000069,0.000000,0.0665,200.0018,0.0432,0.0000,0.0000,0.0000,199.9966,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.007407,0.002940,0.019276
15,16.000,-0.0001,199.9964,0.0000,-0.000008,-0.000070,0.000000,-0.0077,199.9964,0.0851,0.0000,0.0000,0.0000,199.9965,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.000853,0.000146,0.003494
16,17.000,-0.0001,199.9963,0.0000,-0.000008,-0.000070,0.000000,0.0590,200.0072,-0.0088,0.0000,0.0000,0.0000,199.9964,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.007567,0.017571,0.007371
17,18.000,-0.0001,199.9963,0.0000,-0.000008,-0.000070,0.000000,0.0755,200.0722,-0.0120,0.0000,0.0000,0.0000,199.9963,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.006277,0.001519,-0.006239
18,19.000,-0.0001,199.9962,0.0000,-0.000009,-0.000071,0.000000,0.0878,200.2128,-0.0153,0.0000,0.0000,0.0000,199.9963,0.000000,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.002734,0.012511,-0.002153
19,20.000,-0.0001,199.9836,0.0000,-0.000034,-0.025068,0.000000,0.1038,200.1249,-0.0630,0.0000,-12.4984,0.0000,199.9962,0.024997,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.001109,-0.023893,-0.026898
20,21.000,-0.0002,199.9467,0.0000,-0.000115,-0.048815,0.000000,0.0254,200.1920,-0.0648,0.0000,-11.8735,0.0000,199.9836,0.023747,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.007368,-0.007614,0.029290
21,22.000,-0.0004,199.8866,0.0000,-0.000249,-0.071375,0.000000,0.0835,200.1301,-0.0097,0.0000,-11.2798,0.0000,199.9467,0.022560,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.018775,-0.023751,-0.004423
22,23.000,-0.0007,199.8045,0.0000,-0.000433,-0.092807,0.000000,0.0731,199.9994,-0.0223,0.0000,-10.7158,0.0000,199.8866,0.021432,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.015218,-0.018688,-0.002249
23,24.000,-0.0013,199.7015,0.0000,-0.000664,-0.113167,0.000000,0.0537,199.7403,-0.0114,0.0000,-10.1800,0.0000,199.8045,0.020361,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.000415,-0.034961,0.014991
24,25.000,-0.0021,199.5787,0.0000,-0.000940,-0.132509,0.000000,0.0609,199.5807,-0.0126,0.0000,-9.6710,0.0000,199.7015,0.019343,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.013744,-0.026294,-0.010923
25,26.000,-0.0032,199.4370,0.0000,-0.001259,-0.150883,0.000000,-0.0022,199.3633,0.0142,0.0000,-9.1875,0.0000,199.5787,0.018376,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.011675,-0.035571,0.010826
26,27.000,-0.0046,199.2774,0.0000,-0.001619,-0.168337,0.000000,-0.0096,199.1477,0.0203,0.0000,-8.7281,0.0000,199.4370,0.017457,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.006697,-0.005774,-0.018856
27,28.000,-0.0064,199.1007,0.0000,-0.002017,-0.184918,0.000000,-0.0130,198.7928,0.0399,0.0000,-8.2917,0.0000,199.2774,0.016585,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.003899,-0.008769,-0.017092
28,29.000,-0.0086,198.9080,0.0000,-0.002452,-0.200669,0.000000,0.0296,198.6137,0.0704,0.0000,-7.8772,0.0000,199.1007,0.015756,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.004596,-0.012272,-0.003437
29,30.000,-0.0113,198.6998,0.0000,-0.002922,-0.215632,0.000000,-0.0328,198.3524,0.0531,0.0000,-7.4834,0.0000,198.9080,0.014968,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,0.002801,-0.023267,-0.000245
30,31.000,-0.0145,198.4771,0.0000,-0.003426,-0.229845,0.000000,-0.0758,198.0604,0.0221,0.0000,-7.1094,0.0000,198.6998,0.014220,1.000000,0.000000,0.000000,0.000000,0.0000,1,0,0,-0.014774,-0.026256,-0.011333
